EVENT	UNIX_TS	FROM_ORIGIN_MS	FROM_ORIGIN_S
origin	1718788701588.644	0.0	0.0
sniffer-on	1718788701596.688	8.0439453125	0.0080439453125
skygo-on	1718788701596.688	8.0439453125	0.0080439453125
skysportuno-on	1718788744886.945	43298.301025390625	43.29830102539062
skysportuno-off	1718788792886.9436	91298.29956054688	91.29829956054688
skysportcalcio-on	1718788804205.978	102617.333984375	102.617333984375
skysportcalcio-off	1718788864206.3853	162617.7412109375	162.6177412109375
skysporttennis-on	1718788875511.0376	173922.3935546875	173.9223935546875
skysporttennis-off	1718788922511.1216	220922.4775390625	220.9224775390625
skygo-off	1718788934118.4202	232529.77612304688	232.52977612304687
sniffer-off	1718788934237.445	232648.80102539062	232.6488010253906
